Timestamp,Davis Hall Total Electric Meter Demand (C),Davis Hall Total Electric Meter Usage (C)
2024-01-02T13:00:00-08:00 Los_Angeles,140.92799377441406kW,137.5kWh
2024-01-02T14:00:00-08:00 Los_Angeles,138.24000549316406kW,136kWh
2024-01-02T15:00:00-08:00 Los_Angeles,140.03199768066406kW,136.75kWh
2024-01-02T16:00:00-08:00 Los_Angeles,140.41600036621094kW,135.75kWh
2024-01-02T17:00:00-08:00 Los_Angeles,139.51998901367188kW,136.25kWh
2024-01-02T18:00:00-08:00 Los_Angeles,139.00799560546875kW,134.25kWh
2024-01-02T19:00:00-08:00 Los_Angeles,136.76800537109375kW,132kWh
2024-01-02T20:00:00-08:00 Los_Angeles,135.36000061035156kW,102.75kWh
2024-01-02T21:00:00-08:00 Los_Angeles,96.51200103759766kW,92kWh
2024-01-02T22:00:00-08:00 Los_Angeles,96.06400299072266kW,91kWh
2024-01-02T23:00:00-08:00 Los_Angeles,96.12800598144531kW,91.5kWh
2024-01-03T00:00:00-08:00 Los_Angeles,95.61599731445312kW,90.25kWh
2024-01-03T01:00:00-08:00 Los_Angeles,95.23200225830078kW,90.5kWh
2024-01-03T02:00:00-08:00 Los_Angeles,95.16799926757812kW,91.5kWh
2024-01-03T03:00:00-08:00 Los_Angeles,94.46399688720703kW,90kWh
2024-01-03T04:00:00-08:00 Los_Angeles,93.88800048828125kW,90kWh
2024-01-03T05:00:00-08:00 Los_Angeles,134.39999389648438kW,120.75kWh
2024-01-03T06:00:00-08:00 Los_Angeles,134.9759979248047kW,131.75kWh
2024-01-03T07:00:00-08:00 Los_Angeles,134.5919952392578kW,131kWh
2024-01-03T08:00:00-08:00 Los_Angeles,141.50399780273438kW,136.25kWh
2024-01-03T09:00:00-08:00 Los_Angeles,145.9840087890625kW,142kWh
2024-01-03T10:00:00-08:00 Los_Angeles,150.9759979248047kW,148kWh
2024-01-03T11:00:00-08:00 Los_Angeles,159.552001953125kW,153.5kWh
2024-01-03T12:00:00-08:00 Los_Angeles,157.05599975585938kW,152.5kWh
2024-01-03T13:00:00-08:00 Los_Angeles,160.63999938964844kW,153.5kWh
2024-01-03T14:00:00-08:00 Los_Angeles,154.04800415039062kW,151.25kWh
2024-01-03T15:00:00-08:00 Los_Angeles,158.2080078125kW,154.75kWh
2024-01-03T16:00:00-08:00 Los_Angeles,156.41600036621094kW,153.5kWh
2024-01-03T17:00:00-08:00 Los_Angeles,148.54400634765625kW,144kWh
2024-01-03T18:00:00-08:00 Los_Angeles,145.60000610351562kW,141.5kWh
2024-01-03T19:00:00-08:00 Los_Angeles,142.46400451660156kW,138.5kWh
2024-01-03T20:00:00-08:00 Los_Angeles,136.1280059814453kW,106.75kWh
2024-01-03T21:00:00-08:00 Los_Angeles,97.15199279785156kW,94.5kWh
